Periodicite,Moteur,Table,Source,Profondeur_Historique,Profondeur_Periodicite,Table_STAT,Table_GersIT,Table_Relance,Version_Source
hebdo,repart_prescripteur,repart_prescripteur_france,travelling,0,,[STAT].[tra].[RepartPrescripteurSemaineTest],[STAT].[tra].[RepartPrescripteurSemaineTest],,france
hebdo,repart_prescripteur,repart_prescripteur_produit_uga,travelling,0,,[STAT].[tra].[RepartPrescripteurProduitSemaineTest],[STAT].[tra].[RepartPrescripteurProduitSemaineTest],,uga
hebdo,repart_prescripteur,repart_prescripteur_produit_departement,travelling,0,,[STAT].[tra].[RepartPrescripteurProduitSemaineTest],[STAT].[tra].[RepartPrescripteurProduitSemaineTest],,departement
hebdo,repart_prescripteur,repart_prescripteur_produit_france,travelling,0,,[STAT].[tra].[RepartPrescripteurProduitSemaineTest],[STAT].[tra].[RepartPrescripteurProduitSemaineTest],,france
hebdo,repart_pharmacie,repart_pharmacie_uga,travelling,0,,[STAT].[tra].[RepartPharmacieSemaineTest],[STAT].[tra].[RepartPharmacieSemaineTest],,uga
hebdo,repart_pharmacie,repart_pharmacie_departement,travelling,0,,[STAT].[tra].[RepartPharmacieSemaineTest],[STAT].[tra].[RepartPharmacieSemaineTest],,departement
hebdo,repart_pharmacie,repart_pharmacie_france,travelling,0,,[STAT].[tra].[RepartPharmacieSemaineTest],[STAT].[tra].[RepartPharmacieSemaineTest],,france
hebdo,repart_pharmacie,repart_pharmacie_produit_uga,travelling,0,,[STAT].[tra].[RepartPharmacieProduitSemaineTest],[STAT].[tra].[RepartPharmacieProduitSemaineTest],,uga
hebdo,repart_pharmacie,repart_pharmacie_produit_departement,travelling,0,,[STAT].[tra].[RepartPharmacieProduitSemaineTest],[STAT].[tra].[RepartPharmacieProduitSemaineTest],,departement
hebdo,repart_pharmacie,repart_pharmacie_produit_france,travelling,0,,[STAT].[tra].[RepartPharmacieProduitSemaineTest],[STAT].[tra].[RepartPharmacieProduitSemaineTest],,france
hebdo,repart_prescripteur_hopital,repart_prescripteur_hopital_uga,travelling,0,,[STAT].[tra].[RepartPrescripteurHopitalSemaineTest],[STAT].[tra].[RepartPrescripteurHopitalSemaineTest],,uga
hebdo,repart_prescripteur_hopital,repart_prescripteur_hopital_departement,travelling,0,,[STAT].[tra].[RepartPrescripteurHopitalSemaineTest],[STAT].[tra].[RepartPrescripteurHopitalSemaineTest],,departement
hebdo,repart_prescripteur_hopital,repart_prescripteur_hopital_france,travelling,0,,[STAT].[tra].[RepartPrescripteurHopitalSemaineTest],[STAT].[tra].[RepartPrescripteurHopitalSemaineTest],,france
hebdo,repart_prescripteur_hopital,repart_prescripteur_hopital_produit_uga,travelling,0,,[STAT].[tra].[RepartPrescripteurHopitalProduitSemaineTest],[STAT].[tra].[RepartPrescripteurHopitalProduitSemaineTest],,uga
hebdo,repart_prescripteur_hopital,repart_prescripteur_hopital_produit_departement,travelling,0,,[STAT].[tra].[RepartPrescripteurHopitalProduitSemaineTest],[STAT].[tra].[RepartPrescripteurHopitalProduitSemaineTest],,departement
hebdo,repart_prescripteur_hopital,repart_prescripteur_hopital_produit_france,travelling,0,,[STAT].[tra].[RepartPrescripteurHopitalProduitSemaineTest],[STAT].[tra].[RepartPrescripteurHopitalProduitSemaineTest],,france
hebdo,repart_pharmacie_hopital,repart_pharmacie_hopital_uga,travelling,0,,[STAT].[tra].[RepartPharmacieHopitalSemaineTest],[STAT].[tra].[RepartPharmacieHopitalSemaineTest],,uga
hebdo,repart_pharmacie_hopital,repart_pharmacie_hopital_departement,travelling,0,,[STAT].[tra].[RepartPharmacieHopitalSemaineTest],[STAT].[tra].[RepartPharmacieHopitalSemaineTest],,departement
hebdo,repart_pharmacie_hopital,repart_pharmacie_hopital_france,travelling,0,,[STAT].[tra].[RepartPharmacieHopitalSemaineTest],[STAT].[tra].[RepartPharmacieHopitalSemaineTest],,france
hebdo,repart_pharmacie_hopital,repart_pharmacie_hopital_produit_uga,travelling,0,,[STAT].[tra].[RepartPharmacieHopitalProduitSemaineTest],[STAT].[tra].[RepartPharmacieHopitalProduitSemaineTest],,uga
hebdo,repart_pharmacie_hopital,repart_pharmacie_hopital_produit_departement,travelling,0,,[STAT].[tra].[RepartPharmacieHopitalProduitSemaineTest],[STAT].[tra].[RepartPharmacieHopitalProduitSemaineTest],,departement
hebdo,repart_pharmacie_hopital,repart_pharmacie_hopital_produit_france,travelling,0,,[STAT].[tra].[RepartPharmacieHopitalProduitSemaineTest],[STAT].[tra].[RepartPharmacieHopitalProduitSemaineTest],,france
hebdo,travelling_etablissement,travelling_etablissement_presentation,travelling,0,,[STAT].[tra].[TravellingEtablissementSemaineTest],[STAT].[tra].[TravellingEtablissementSemaineTest],,presentation
hebdo,travelling_etablissement,travelling_etablissement_uga,travelling,0,,[STAT].[tra].[TravellingEtablissementSemaineTest],[STAT].[tra].[TravellingEtablissementSemaineTest],,uga
hebdo,travelling_etablissement,travelling_etablissement_produit_presentation,travelling,0,,[STAT].[tra].[TravellingEtablissementProduitSemaineTest],[STAT].[tra].[TravellingEtablissementProduitSemaineTest],,presentation
hebdo,basquet,basquet,basquet,0,,[message].[dbo].[basquet_ball],[message].[dbo].[basquet_ball],,presentation
hebdo,banks,banks,banks,0,,[message].[dbo].[TabBanks],[message].[dbo].[TabBanks],,presentation
hebdo,salaries,salaries,salaries,0,,[message].[dbo].[TabSalaries],[message].[dbo].[TabSalaries],,presentation
hebdo,sig_relocalise,sig_relocalise,sig_relocalise,0,,,,,
