Periodicite,Moteur,Table,Source,Profondeur_Historique,Profondeur_Periodicite,Table_STAT,Table_GersIT,Table_Relance,Version_Source
mensueldebutmois,origins8,origins8,origin,0,,[GERS].[dbo].[FaitMoisVentesUgaOriginSpe],[DW_GersIt].[origin].[FaitMoisVentesUgaOriginSpe],,8
mensueldebutmois,originhs8,originhs8,origin,0,,[GERS].[dbo].[FaitMoisVentesUgaOriginSpeHop],[DW_GersIt].[origin].[FaitMoisVentesUgaOriginSpeHop],,8
mensueldebutmois,sogs4,sogs4,origin,0,,[GERS].[dbo].[FaitMoisVentesUgaSogSpe],[DW_GersIt].[sog].[FaitMoisVentesUgaSogSpe],,4
mensueldebutmois,sogshop4,sogshop4,origin,0,,[GERS].[dbo].[FaitMoisVentesUgaSogSpeHop],[DW_GersIt].[sog].[FaitMoisVentesUgaSogSpeHop],,4
mensueldebutmois,rfsotc,rfsotc,rfsotc,0,,,,,
mensueldebutmois,travelling_uga,travelling_uga_uga,travelling,0,,[STAT].[tra].[TravellingUgaMoisTest],[STAT].[tra].[TravellingUgaMoisTest],,uga
mensueldebutmois,travelling_uga,travelling_uga_departement,travelling,0,,[STAT].[tra].[TravellingUgaMoisTest],[STAT].[tra].[TravellingUgaMoisTest],,departement
mensueldebutmois,travelling_uga,travelling_uga_france,travelling,0,,[STAT].[tra].[TravellingUgaMoisTest],[STAT].[tra].[TravellingUgaMoisTest],,france
mensueldebutmois,travelling_uga,travelling_uga_produit_uga,travelling,0,,[STAT].[tra].[TravellingUgaProduitMoisTest],[STAT].[tra].[TravellingUgaProduitMoisTest],,uga
mensueldebutmois,travelling_uga,travelling_uga_produit_departement,travelling,0,,[STAT].[tra].[TravellingUgaProduitMoisTest],[STAT].[tra].[TravellingUgaProduitMoisTest],,departement
mensueldebutmois,travelling_uga,travelling_uga_produit_france,travelling,0,,[STAT].[tra].[TravellingUgaProduitMoisTest],[STAT].[tra].[TravellingUgaProduitMoisTest],,france
mensueldebutmois,repart_prescripteur,repart_prescripteur_uga,travelling,0,,[STAT].[tra].[RepartPrescripteurMoisTest],[STAT].[tra].[RepartPrescripteurMoisTest],,uga
mensueldebutmois,repart_prescripteur,repart_prescripteur_departement,travelling,0,,[STAT].[tra].[RepartPrescripteurMoisTest],[STAT].[tra].[RepartPrescripteurMoisTest],,departement
mensueldebutmois,repart_prescripteur,repart_prescripteur_france,travelling,0,,[STAT].[tra].[RepartPrescripteurMoisTest],[STAT].[tra].[RepartPrescripteurMoisTest],,france
mensueldebutmois,repart_prescripteur,repart_prescripteur_produit_uga,travelling,0,,[STAT].[tra].[RepartPrescripteurProduitMoisTest],[STAT].[tra].[RepartPrescripteurProduitMoisTest],,uga
mensueldebutmois,repart_prescripteur,repart_prescripteur_produit_departement,travelling,0,,[STAT].[tra].[RepartPrescripteurProduitMoisTest],[STAT].[tra].[RepartPrescripteurProduitMoisTest],,departement
mensueldebutmois,repart_prescripteur,repart_prescripteur_produit_france,travelling,0,,[STAT].[tra].[RepartPrescripteurProduitMoisTest],[STAT].[tra].[RepartPrescripteurProduitMoisTest],,france
mensueldebutmois,repart_pharmacie,repart_pharmacie_uga,travelling,0,,[STAT].[tra].[RepartPharmacieMoisTest],[STAT].[tra].[RepartPharmacieMoisTest],,uga
mensueldebutmois,repart_pharmacie,repart_pharmacie_departement,travelling,0,,[STAT].[tra].[RepartPharmacieMoisTest],[STAT].[tra].[RepartPharmacieMoisTest],,departement
mensueldebutmois,repart_pharmacie,repart_pharmacie_france,travelling,0,,[STAT].[tra].[RepartPharmacieMoisTest],[STAT].[tra].[RepartPharmacieMoisTest],,france
mensueldebutmois,repart_pharmacie,repart_pharmacie_produit_uga,travelling,0,,[STAT].[tra].[RepartPharmacieProduitMoisTest],[STAT].[tra].[RepartPharmacieProduitMoisTest],,uga
mensueldebutmois,repart_pharmacie,repart_pharmacie_produit_departement,travelling,0,,[STAT].[tra].[RepartPharmacieProduitMoisTest],[STAT].[tra].[RepartPharmacieProduitMoisTest],,departement
mensueldebutmois,repart_pharmacie,repart_pharmacie_produit_france,travelling,0,,[STAT].[tra].[RepartPharmacieProduitMoisTest],[STAT].[tra].[RepartPharmacieProduitMoisTest],,france
mensueldebutmois,repart_prescripteur_hopital,repart_prescripteur_hopital_uga,travelling,0,,[STAT].[tra].[RepartPrescripteurHopitalMoisTest],[STAT].[tra].[RepartPrescripteurHopitalMoisTest],,uga
mensueldebutmois,repart_prescripteur_hopital,repart_prescripteur_hopital_departement,travelling,0,,[STAT].[tra].[RepartPrescripteurHopitalMoisTest],[STAT].[tra].[RepartPrescripteurHopitalMoisTest],,departement
mensueldebutmois,repart_prescripteur_hopital,repart_prescripteur_hopital_france,travelling,0,,[STAT].[tra].[RepartPrescripteurHopitalMoisTest],[STAT].[tra].[RepartPrescripteurHopitalMoisTest],,france
mensueldebutmois,repart_prescripteur_hopital,repart_prescripteur_hopital_produit_uga,travelling,0,,[STAT].[tra].[RepartPrescripteurHopitalProduitMoisTest],[STAT].[tra].[RepartPrescripteurHopitalProduitMoisTest],,uga
mensueldebutmois,repart_prescripteur_hopital,repart_prescripteur_hopital_produit_departement,travelling,0,,[STAT].[tra].[RepartPrescripteurHopitalProduitMoisTest],[STAT].[tra].[RepartPrescripteurHopitalProduitMoisTest],,departement
mensueldebutmois,repart_prescripteur_hopital,repart_prescripteur_hopital_produit_france,travelling,0,,[STAT].[tra].[RepartPrescripteurHopitalProduitMoisTest],[STAT].[tra].[RepartPrescripteurHopitalProduitMoisTest],,france
mensueldebutmois,repart_pharmacie_hopital,repart_pharmacie_hopital_uga,travelling,0,,[STAT].[tra].[RepartPharmacieHopitalMoisTest],[STAT].[tra].[RepartPharmacieHopitalMoisTest],,uga
mensueldebutmois,repart_pharmacie_hopital,repart_pharmacie_hopital_departement,travelling,0,,[STAT].[tra].[RepartPharmacieHopitalMoisTest],[STAT].[tra].[RepartPharmacieHopitalMoisTest],,departement
mensueldebutmois,repart_pharmacie_hopital,repart_pharmacie_hopital_france,travelling,0,,[STAT].[tra].[RepartPharmacieHopitalMoisTest],[STAT].[tra].[RepartPharmacieHopitalMoisTest],,france
mensueldebutmois,repart_pharmacie_hopital,repart_pharmacie_hopital_produit_uga,travelling,0,,[STAT].[tra].[RepartPharmacieHopitalProduitMoisTest],[STAT].[tra].[RepartPharmacieHopitalProduitMoisTest],,uga
mensueldebutmois,repart_pharmacie_hopital,repart_pharmacie_hopital_produit_departement,travelling,0,,[STAT].[tra].[RepartPharmacieHopitalProduitMoisTest],[STAT].[tra].[RepartPharmacieHopitalProduitMoisTest],,departement
mensueldebutmois,repart_pharmacie_hopital,repart_pharmacie_hopital_produit_france,travelling,0,,[STAT].[tra].[RepartPharmacieHopitalProduitMoisTest],[STAT].[tra].[RepartPharmacieHopitalProduitMoisTest],,france
mensueldebutmois,travelling_etablissement,travelling_etablissement_presentation,travelling,0,,[STAT].[tra].[TravellingEtablissementMoisTest],[STAT].[tra].[TravellingEtablissementMoisTest],,presentation
mensueldebutmois,travelling_etablissement,travelling_etablissement_uga,travelling,0,,[STAT].[tra].[TravellingEtablissementMoisTest],[STAT].[tra].[TravellingEtablissementMoisTest],,uga
mensueldebutmois,travelling_etablissement,travelling_etablissement_produit_presentation,travelling,0,,[STAT].[tra].[TravellingEtablissementProduitMoisTest],[STAT].[tra].[TravellingEtablissementProduitMoisTest],,presentation
mensueldebutmois,sig_relocalise,sig_relocalise,sig_relocalise,0,,,,,
