Id;Segment;Country
533;Enterprise;Mexico
534;Government;Mexico
535;Midmarket;Mexico
536;Government;United States of America
537;Government;Mexico
538;Enterprise;Canada
539;Enterprise;Mexico
540;Midmarket;Canada
541;Midmarket;United States of America
542;Small Business;France
543;Government;Mexico
544;Government;Canada
545;Government;Mexico
546;Small Business;France
547;Small Business;United States of America
548;Government;Mexico
549;Enterprise;Mexico
550;Government;Mexico
551;Government;Mexico
552;Government;France
553;Small Business;Germany
554;Small Business;Mexico
555;Government;Mexico
556;Midmarket;Mexico
557;Government;Mexico
558;Government;Mexico
559;Government;United States of America
560;Government;Mexico
561;Channel Partners;Canada
562;Midmarket;France
563;Government;Canada
564;Government;United States of America
565;Enterprise;United States of America
566;Government;Mexico
567;Government;United States of America
568;Government;France
569;Government;Canada
570;Midmarket;United States of America
571;Government;France
572;Channel Partners;Mexico
573;Government;Germany
574;Government;France
575;Government;Germany
576;Channel Partners;Canada
577;Midmarket;United States of America
578;Midmarket;United States of America
579;Government;Canada
580;Government;France
581;Government;Germany
582;Government;United States of America
583;Government;United States of America
584;Channel Partners;Mexico
585;Government;Mexico
586;Government;Canada
587;Government;United States of America
588;Small Business;Germany
589;Government;United States of America
590;Government;Germany
591;Government;Canada
592;Enterprise;Canada
593;Channel Partners;Mexico
594;Government;France
595;Midmarket;Canada
596;Government;Canada
597;Government;Germany
598;Channel Partners;Germany
599;Midmarket;France
600;Government;Canada
601;Government;France
602;Channel Partners;Mexico
603;Midmarket;Germany
604;Channel Partners;Mexico
605;Small Business;Mexico
606;Channel Partners;Germany
607;Enterprise;Canada
608;Midmarket;Canada
609;Enterprise;Canada
610;Government;France
611;Channel Partners;Mexico
612;Channel Partners;Germany
613;Government;Mexico
614;Government;United States of America
615;Government;United States of America
616;Government;Germany
617;Government;France
618;Government;United States of America
619;Midmarket;Germany
620;Government;Canada
621;Midmarket;United States of America
622;Channel Partners;France
623;Government;Germany
624;Channel Partners;France
625;Channel Partners;United States of America
626;Small Business;Mexico
627;Enterprise;France
628;Small Business;Canada
629;Small Business;United States of America
630;Midmarket;Germany
631;Midmarket;Canada
632;Enterprise;Mexico
633;Government;Canada
634;Government;Germany
635;Government;Canada
636;Government;Canada
637;Government;Mexico
638;Midmarket;Canada
639;Government;Mexico
640;Midmarket;Canada
641;Midmarket;Canada
642;Channel Partners;United States of America
643;Government;France
644;Government;Canada
645;Channel Partners;Canada
646;Government;United States of America
647;Government;France
648;Enterprise;Mexico
649;Government;United States of America
650;Small Business;United States of America
651;Small Business;Canada
652;Small Business;Germany
653;Government;Mexico
654;Small Business;United States of America
655;Small Business;Canada
656;Small Business;Canada
657;Small Business;United States of America
658;Government;France
659;Small Business;Canada
660;Enterprise;United States of America
661;Channel Partners;France
662;Midmarket;Canada
663;Channel Partners;United States of America
664;Government;France
665;Government;Mexico
666;Midmarket;Mexico
667;Enterprise;France
668;Enterprise;Germany
669;Enterprise;Germany
670;Small Business;Mexico
671;Government;Germany
672;Midmarket;Canada
673;Government;Mexico
674;Government;Mexico
675;Midmarket;Canada
676;Government;United States of America
677;Enterprise;Germany
678;Midmarket;Germany
679;Government;United States of America
680;Government;Mexico
681;Channel Partners;United States of America
682;Government;France
683;Channel Partners;Mexico
684;Midmarket;France
685;Enterprise;France
686;Small Business;United States of America
687;Enterprise;United States of America
688;Channel Partners;United States of America
689;Government;Canada
690;Midmarket;Germany
691;Government;United States of America
692;Midmarket;Germany
693;Enterprise;Canada
694;Enterprise;Germany
695;Government;France
696;Small Business;France
697;Small Business;Mexico
698;Government;Mexico
699;Government;Canada
700;Channel Partners;United States of America
